1.txt	试 驾 长 城 c 3 0 感 评 价 否 力 样 昨 天 4 s 店 试 驾 长 城 c 3 0 总 结 1 感 受 坐 驾 驶 位 前 视 野 开 阔 座 椅 软 感 觉 座 椅 点 高 头 快 碰 驾 驶 室 顶 1 挡 步 平 缓 换 入 2 挡 稍 力 踩 油 门 感 觉 油 门 点 软 油 门 踩 过 会 才 油 反 应 感 觉 延 迟 论 坛 说 c 3 0 发 动 机 较 肉 天 1 试 确 实 情 况 换 5 挡 将 速 度 提 1 2 0 感 觉 时 间 点 长 车 身 倒 挺 稳 风 燥 动 静 较 掉 头 时 候 感 觉 c 3 0 方 盘 轻 车 身 倾 斜 度 点 大 车 过 减 速 带 时 候 感 觉 颠 厉 害 应 减 震 点 硬 总 说 呢 c 3 0 较 适 合 市 区 跑 速 度 会 太 快 太 快 前 试 驾 过 海 马 m 3 感 觉 动 力 略 胜 1 筹 加 速 性 油 门 轻 1 踩 就 反 应 较 快 提 速 1 2 0 迈 轻 松 c 3 0 1 样 车 身 稳 风 燥 知 道 大 家 c 3 0 动 力 性 舒 适 性 啊 知 道 试 驾 台 车 年 头 久 哎 纠 结 款 车 都 优 势 知 道 选 较 
19.txt	暖 风 出 现 异 味 请 问 悦 翔 空 调 外 循 环 内 循 环 进 气 口 具 体 位 置 近 开 暖 风 出 现 异 味 类 似 尘 土 味 胶 皮 味 缠 1 具 体 情 况 1 内 循 环 时 异 味 较 重 尤 吹 前 档 玻 璃 时 2 外 循 环 时 异 味 捎 轻 准 备 网 购 空 调 清 洁 剂 清 洗 1 风 道 根 说 明 要 外 循 环 内 循 环 进 气 口 注 入 泡 沫 清 洁 剂 请 问 悦 翔 外 循 环 内 循 环 进 气 口 啊 p s 请 问 车 友 没 类 似 问 题 啊 没 什 更 解 决 办 法 
2.txt	慢 稳 多 都 说 骐 达 步 肉 开 始 觉 发 现 然 实 肉 稳 次 朋 友 1 出 捷 达 想 年 捷 达 运 动 型 轿 车 呢 号 称 动 力 1 路 走 京 密 路 顺 义 结 果 说 步 挺 快 次 都 2 5 0 0 3 5 0 0 转 换 挡 才 诧 异 实 次 步 感 觉 柔 转 速 高 分 析 出 原 样 1 5 0 0 多 转 捷 达 时 候 才 6 0 k m h 车 经 8 0 k m h 步 1 5 0 0 转 换 挡 就 需 要 2 5 0 0 转 换 挡 才 能 肉 感 觉 罢 没 太 多 顿 挫 较 顺 畅 
20.txt	新 车 标 提 点 建 议 独 己 车 标 动 心 啊 设 计 1 属 青 海 逍 客 车 友 车 标 请 大 家 提 提 建 议 设 计 第 1 备 选 车 标 设 计 第 2 备 选 车 标 对 第 2 车 标 编 号 弄 丢 啊 第 1 1 样 编 号 
21.txt	2 耳 闻 车 事 1 心 买 v 3 菱 悦 车 对 车 价 格 1 2 5 元 天 v 3 菱 悦 车 成 本 会 便 宜 1 百 块 钱 1 2 5 4 0 8 5 元 许 会 说 8 5 块 钱 没 多 少 啊 果 算 1 年 费 数 字 3 1 0 2 5 3 万 块 钱 样 算 知 道 1 算 吓 1 跳 1 年 省 3 万 块 什 概 念 v 3 菱 悦 现 1 款 特 价 车 型 要 4 9 8 万 喔 车 费 中 省 钱 差 多 1 年 7 月 就 能 买 1 辆 v 3 菱 悦 样 说 v 3 菱 悦 1 款 特 车 型 句 话 1 点 都 没 错 v 3 菱 悦 车 成 本 低 款 车 型 实 性 1 点 都 差 网 搜 搜 v 3 菱 悦 口 碑 就 知 道 听 说 近 v 3 菱 悦 活 动 买 v 3 菱 悦 时 候 挑 选 3 年 1 0 万 公 里 保 固 期 时 赠 送 5 万 公 里 机 油 机 滤 保 养 将 费 车 成 本 中 刨 除 出 费 会 更 低 时 代 什 都 要 己 说 话 做 事 要 指 望 谓 2 耳 闻 窗 外 事 1 心 读 圣 贤 书 句 话 社 会 异 曲 工 处 就 2 耳 闻 车 事 1 心 买 v 3 菱 悦 车 
22.txt	大 天 窗 力 爽 喜 欢 骏 骏 超 级 大 天 窗 估 计 1 果 完 全 开 4 大 时 进 出 优 势 果 遇 年 京 城 样 洪 水 加 骏 骏 密 闭 性 能 限 时 间 里 面 逃 生 应 没 问 题 大 天 窗 级 车 中 绝 对 算 极 品 躺 车 床 天 空 数 星 星 确 实 件 爽 事 
23.txt	想 改 音 响 推 荐 想 改 1 奇 骏 音 响 朋 友 解 什 牌 子 适 合 吗 性 价 错 推 荐 呗 
24.txt	大 天 窗 力 瑟 喜 欢 骏 骏 超 级 大 天 窗 估 计 1 果 完 全 开 4 大 时 进 出 优 势 果 遇 年 京 城 样 洪 水 加 骏 骏 密 闭 性 能 限 时 间 里 面 逃 生 应 没 问 题 大 天 窗 级 车 中 绝 对 算 极 品 躺 车 床 天 空 数 星 星 确 实 件 爽 事 
25.txt	全 新 胜 达 漏 机 油 朋 友 木 朋 友 没 发 现 种 情 况 呀 希 望 没 咯 隔 离 希 望 击 车 都 真 想 寻 找 1 知 音 啊 
26.txt	请 位 帮 价 位 p o l o 贵 贵 谢 谢 买 p o l o 1 6 动 中 配 带 天 窗 白 色 全 险 落 户 加 牌 照 送 8 样 内 饰 全 车 带 侧 面 真 皮 g p s 防 爆 膜 挡 泥 板 脚 垫 坐 垫 备 箱 垫 护 板 总 共 1 1 8 0 0 0 元 现 车 第 2 天 就 落 牌 样 算 贵 没 找 熟 觉 销 售 诚 心 就 买 现 多 说 应 找 熟 价 格 会 便 宜 请 大 家 帮 底 算 算 贵 慎 感 激 
27.txt	想 改 音 响 想 改 1 奇 骏 音 响 朋 友 解 什 牌 子 适 合 吗 性 价 错 推 荐 呗 
28.txt	b b 带 导 航 更 便 捷 精 准 里 奥 迪 木 过 感 觉 都 没 皇 冠 导 航 
29.txt	屌 丝 求 认 证 附 车 体 会 本 屌 丝 1 枚 纯 能 纯 种 老 婆 喜 欢 4 l 基 本 倾 家 荡 产 搞 1 辆 4 l 现 附 劣 图 1 求 认 证 照 片 h t c g 7 拍 连 水 果 机 都 请 位 车 友 见 谅 车 体 会 本 隶 属 屌 丝 范 畴 较 注 重 油 耗 印 象 中 德 系 车 车 身 重 算 较 费 油 说 实 话 较 意 外 基 本 市 区 较 堵 情 况 坐 满 3 1 0 5 左 右 油 耗 1 次 复 兴 高 架 1 直 石 祥 路 高 架 算 堵 定 速 巡 航 油 耗 竟 然 破 天 荒 达 5 2 甚 意 外 1 次 开 空 调 1 路 猛 踩 油 门 猛 刹 油 耗 过 1 5 左 右 关 启 停 功 能 多 l 车 友 都 关 觉 麻 烦 对 发 动 机 损 伤 对 种 屌 丝 说 1 分 省 油 功 能 都 会 放 弃 较 错 过 说 春 秋 天 1 点 夏 天 1 旦 空 调 较 力 开 启 空 调 需 要 大 量 电 能 稍 稍 停 1 会 发 动 机 会 动 启 动 点 确 实 需 要 改 进 谢 谢 位 观 希 望 没 买 车 准 车 主 1 点 帮 助 时 非 常 开 心 加 入 4 l 大 家 庭 谢 谢 大 家 本 帖 z l c d j q 2 0 1 3 0 6 3 0 2 2 5 5 0 9 编 辑 
3.txt	绑 红 绳 讲 究 昨 天 大 街 1 新 骐 达 白 色 非 常 干 净 马 路 显 眼 知 道 什 4 轮 子 反 光 镜 都 绑 红 绳 子 记 1 次 见 多 新 车 1 就 刚 刚 4 s 店 提 回 没 牌 子 都 铝 合 金 轮 圈 绑 1 红 绳 耳 朵 经 常 绑 耳 朵 绑 1 就 算 就 开 风 燥 大 轮 子 绑 1 红 绳 子 转 动 平 衡 破 坏 啊 时 间 长 红 色 掉 色 染 轮 毂 就 知 道 弄 能 1 种 风 俗 讲 究 
30.txt	球 高 手 支 招 刚 买 荣 威 3 5 0 总 体 感 觉 错 就 2 挡 爬 陡 坡 时 感 觉 力 伴 达 达 异 响 1 挡 坡 道 步 时 点 达 达 异 响 声 位 高 手 知 道 什 原 吗 求 支 援 亲 力 哈 
31.txt	奔 驰 c 2 6 0 优 惠 多 天 车 请 懂 行 位 莫 拍 啊 本 奔 g l k 3 0 0 突 然 发 现 旁 边 放 暗 红 色 c 2 6 0 啊 光 泽 舒 服 1 直 谈 g l k 价 格 果 断 力 啊 就 口 问 车 多 少 然 告 诉 优 惠 9 万 真 心 吓 1 跳 优 惠 多 啊 销 售 说 改 款 才 优 惠 多 朋 友 偷 偷 说 卖 掉 肯 定 然 里 能 优 惠 多 狂 汗 1 边 优 惠 啊 车 开 真 心 懂 车 真 心 求 教 
32.txt	买 君 威 点 悔 啊 1 6 t 动 2 4 0 块 9 7 号 油 4 格 油 才 跑 1 4 0 公 里 就 剩 2 格 真 费 油 
33.txt	新 君 越 1 年 里 面 刺 鼻 味 道 解 决 求 高 手 什 招 都 什 竹 炭 包 异 味 柚 子 皮 等 等 能 都 1 点 都 没 特 太 阳 底 晒 1 段 时 间 股 刺 鼻 味 道 闻 能 吐 求 解 决 办 法 
34.txt	想 外 地 购 车 知 道 本 地 优 惠 太 少 请 问 近 刚 接 车 学 接 豪 雅 版 者 豪 华 版 君 越 都 优 惠 多 少 啊 地 方 谢 谢 回 答 亳 州 豪 雅 优 惠 3 6 w 送 垃 圾 1 堆 
35.txt	君 威 变 速 箱 问 题 新 君 威 舒 适 版 参 数 6 档 手 1 体 6 t 车 没 见 手 动 档 位 啊 
36.txt	提 车 4 s 送 地 胶 贴 膜 要 要 买 车 谈 送 导 航 全 车 膜 地 胶 底 盘 装 甲 发 动 机 护 板 4 s 说 君 威 发 动 机 沉 功 能 装 护 板 就 没 装 导 航 经 装 连 牌 子 都 没 年 买 表 倒 车 影 像 更 垃 圾 算 己 买 摄 像 头 换 天 通 知 7 号 过 贴 膜 装 地 胶 装 甲 现 犹 豫 送 东 西 都 没 货 底 装 装 位 支 支 招 装 东 西 估 计 折 现 
37.txt	大 家 推 荐 行 车 记 录 仪 带 测 速 者 电 子 狗 行 天 待 没 事 差 违 章 结 果 3 超 速 1 没 系 安 全 带 3 超 速 1 罚 1 0 0 扣 3 分 没 系 安 全 带 罚 5 0 扣 2 分 1 共 3 5 0 大 洋 外 加 1 1 分 受 准 备 收 带 测 速 行 车 记 录 仪 者 光 要 电 子 狗 行 罚 啊 才 提 车 7 8 月 逛 宝 销 量 高 舰 知 道 过 说 本 帖 公 羊 天 纵 2 0 1 3 0 7 0 1 0 0 0 3 1 8 编 辑 
38.txt	英 朗 g t 进 取 手 动 1 6 l 点 问 题 提 车 半 月 近 换 挡 老 哒 哒 哒 响 感 觉 挡 没 挂 进 似 发 动 机 声 音 大 常 见 什 老 哒 哒 哒 响 对 车 什 伤 害 
39.txt	车 1 年 1 点 感 受 1 9 0 0 0 公 里 第 2 次 保 养 买 车 正 1 年 跑 1 9 0 0 0 公 里 平 均 油 耗 9 1 对 时 常 地 板 油 说 非 常 车 没 任 问 题 没 失 望 过 动 感 外 形 实 配 置 错 动 力 4 区 系 统 过 才 知 道 真 错 货 货 才 能 分 辨 优 劣 能 己 孩 子 都 哈 哈 果 非 要 说 满 意 地 方 空 间 算 1 毕 竟 x 1 原 感 觉 发 动 机 声 音 大 习 惯 就 哦 内 饰 料 太 讲 究 就 注 重 什 保 养 过 程 简 单 前 1 天 预 约 第 2 天 午 店 维 修 姐 说 较 清 楚 第 2 次 保 养 保 养 要 换 换 机 油 机 滤 提 出 要 换 空 调 滤 芯 说 等 等 第 3 次 保 养 才 换 提 出 能 能 帮 清 洁 出 吹 吹 灰 要 费 1 2 0 0 多 黑 甘 心 费 口 舌 终 答 应 请 示 免 部 分 费 呵 呵 哦 机 油 要 求 瓶 装 机 油 单 子 笔 注 估 计 提 醒 维 修 员 整 过 程 1 半 时 费 1 0 3 6 买 车 时 候 送 维 修 卡 买 车 时 候 费 口 舌 争 取 哈 哈 
4.txt	首 付 多 空 间 金 融 直 通 车 买 车 首 付 4 w 端 午 节 交 钱 提 骊 威 顶 配 劲 锐 周 末 就 媳 妇 拉 开 车 国 美 买 东 西 正 赶 做 活 动 特 价 转 1 大 圈 买 1 堆 东 西 电 视 空 调 相 机 类 1 大 堆 车 里 搬 时 候 差 点 累 死 过 车 装 时 候 倒 真 够 力 排 座 位 放 倒 空 调 轻 松 就 进 电 视 直 接 搞 定 能 装 啊 s i 2 0 0 h e i g h t 1 5 0 f o n t f m i l y 微 软 雅 黑 s n s s e r i f 
40.txt	c r v 转 灯 亮 双 闪 亮 刚 才 发 现 1 问 题 右 转 灯 亮 仪 表 盘 没 显 示 没 声 音 双 闪 正 常 原 呢 大 虾 赐 教 
41.txt	雅 阁 油 漆 问 题 尼 玛 雅 阁 油 漆 太 软 天 第 2 次 洗 车 洗 完 车 车 身 细 微 划 痕 啊 前 p o l o 车 油 漆 雅 阁 强 百 倍 啊 雅 阁 油 漆 真 伤 
42.txt	感 觉 9 8 油 适 合 手 动 锋 范 加 9 7 动 力 没 感 觉 什 进 步 提 速 反 均 匀 总 体 觉 9 3 感 觉 位 什 情 况 说 说 
43.txt	1 5 t 锋 范 安 装 导 航 视 摄 像 头 大 家 效 果 范 范 入 手 快 1 月 4 s 提 车 时 就 差 点 忽 悠 买 店 里 导 航 要 5 0 0 0 大 洋 然 索 性 网 买 导 航 众 宏 汽 配 城 安 装 连 视 摄 像 头 算 安 装 费 2 0 0 0 嘿 嘿 空 调 按 钮 换 喜 欢 原 先 按 钮 像 老 式 电 视 机 淘 宝 买 3 5 块 钱 大 家 秀 秀 照 片 显 高 级 点 嘿 嘿 时 间 拍 点 晚 效 果 按 钮 带 光 圈 
44.txt	开 3 1 0 0 k m 发 现 门 异 响 速 锐 t i d 开 3 1 0 0 k m 天 才 发 现 副 驾 驶 门 点 异 响 遇 平 路 就 会 响 心 里 意 舒 服 大 家 遇 都 处 理 呀 准 备 首 保 时 找 4 s 处 理 知 道 能 否 弄 
45.txt	3 0 7 突 然 法 启 动 仪 表 嗒 嗒 响 然 休 克 全 车 断 电 3 0 7 突 然 法 启 动 仪 表 嗒 嗒 响 然 休 克 全 车 断 电 1 6 丐 版 手 动 3 0 7 天 跑 2 百 公 里 山 路 6 时 非 常 颠 簸 回 区 附 近 吃 饭 车 就 火 窗 户 关 门 都 锁 电 话 修 车 店 老 板 说 十 8 9 电 瓶 坏 明 天 找 推 发 者 找 车 搭 电 开 换 电 瓶 纳 闷 车 十 天 没 开 天 早 1 就 接 开 6 时 电 瓶 能 亏 电 拆 电 瓶 2 极 发 现 正 极 算 干 净 负 极 附 多 白 色 粉 末 搞 清 洁 砂 纸 磨 重 新 接 正 负 极 然 叫 3 挂 2 档 车 子 推 敢 熄 火 啊 接 跑 半 时 开 回 区 地 车 库 停 貌 似 充 1 点 电 少 顺 利 锁 车 门 能 够 推 发 说 明 发 电 机 点 火 线 圈 没 问 题 回 事 呢 真 知 道 明 天 早 能 顺 利 发 车 车 子 经 4 年 没 换 过 电 瓶 原 配 骆 驼 牌 本 帖 长 沙 杨 2 0 1 3 0 6 3 0 2 3 2 7 3 8 编 辑 
46.txt	求 大 神 帮 忙 1 2 款 3 0 7 行 车 电 脑 问 题 2 0 1 1 年 7 月 提 车 现 经 整 整 2 年 5 4 0 0 0 k m 算 较 能 跑 己 避 装 过 1 次 中 央 隔 离 带 换 水 箱 等 近 发 现 锁 车 大 概 1 0 分 钟 电 源 都 没 遥 控 要 法 解 锁 能 插 钥 匙 开 门 启 动 行 车 电 脑 设 置 全 部 都 重 置 日 期 直 接 初 始 日 期 音 响 音 量 特 大 s s s s 说 要 全 车 线 路 检 测 怀 疑 行 车 电 脑 记 忆 什 坏 求 大 神 帮 帮 忙 
47.txt	关 4 0 8 刹 车 问 题 1 0 款 刹 车 没 觉 z z y 7 7 留 言 说 天 遇 踩 死 刹 住 情 况 1 脚 前 溜 约 1 米 左 右 楼 车 友 没 遇 能 就 说 黑 噻 大 家 投 诉 刹 车 样 吗 刹 车 踩 底 车 子 应 立 马 原 地 动 吗 考 虑 车 速 路 面 湿 滑 惯 性 吗 要 样 购 皮 4 0 8 害 啊 设 计 1 定 问 题 车 1 0 0 吗 刹 车 踩 底 t m d 要 前 溜 3 9 米 车 能 买 啊 参 考 贴 4 0 8 搞 点 头 暈 h t t p c l u b u t o h o m e c o m c n b b s t h r e d c 9 8 7 2 3 5 5 6 6 2 1 2 h t m l 3 5 楼 z z y 7 7 学 描 述 
48.txt	1 3 款 c 3 0 车 速 转 速 问 题 3 像 费 力 刚 提 1 辆 1 3 款 长 城 c 3 0 车 速 跑 7 0 时 加 速 就 较 费 力 什 难 道 新 车 限 速 吗 
49.txt	c 3 0 车 1 星 期 心 图 求 版 主 认 证 设 精 2 1 号 提 车 开 1 星 期 感 觉 错 除 换 挡 点 瑟 瑟 提 速 确 实 肉 长 城 做 工 相 错 空 间 确 实 车 震 神 马 图 求 版 主 认 证 侧 面 霸 气 侧 漏 哈 哈 1 5 寸 脚 行 侧 霸 气 正 面 菊 花 1 般 侧 面 流 线 错 感 觉 赛 欧 多 c 近 视 眼 力 吐 槽 内 饰 感 觉 价 位 内 饰 长 城 做 算 错 硬 塑 料 力 吐 槽 储 物 盒 档 杆 挺 档 次 排 空 间 错 啊 4 s 送 贴 膜 质 量 1 般 招 手 停 哈 哈 大 鹏 展 翅 磨 合 期 油 耗 点 高 啊 百 公 里 差 多 7 8 油 午 忘 记 拍 钥 匙 现 补 1 张 认 证 神 器 版 主 能 能 精 认 证 1 啊 
